player_name,time,longitude,latitude,killer_id,Game_ID
Bold Owl,2023-05-20 10:13:30-05:00,-74.478858,46.043314,Loyal Crocodile,1
Fearless Chameleon,2023-05-20 10:14:57-05:00,-74.478853,46.04273,Agile Hippopotamus,1
Vigilant Puma,2023-05-20 10:15:11-05:00,-74.478316,46.045486,Resourceful Platypus,1
Curious Penguin,2023-05-20 10:17:44-05:00,-74.478469,46.046009,Resourceful Platypus,1
Elusive Fox,2023-05-20 10:19:26-05:00,-74.477623,46.04563,Playful Dolphin,1
Daring Koala,2023-05-20 10:21:25-05:00,-74.479177,46.045244,Resourceful Platypus,1
Lively Rabbit,2023-05-20 10:24:00-05:00,-74.476706,46.04337,Agile Hippopotamus,1
Wise Leopard,2023-05-20 10:27:27-05:00,-74.479261,46.045545,Swift Elephant,1
Resilient Otter,2023-05-20 10:28:31-05:00,-74.478418,46.044282,Loyal Crocodile,1
Noble Zebra,2023-05-20 10:32:25-05:00,-74.477894,46.045949,Resourceful Platypus,1
Wild Tiger,2023-05-20 10:34:19-05:00,-74.478869,46.043462,Playful Dolphin,1
Persistent Armadillo,2023-05-20 11:15:58-05:00,-74.436582,46.045378,Clever Lion,2
Graceful Raccoon,2023-05-20 11:16:46-05:00,-74.478424,46.044311,Daring Koala,2
Agile Hippopotamus,2023-05-20 11:17:42-05:00,-74.478151,46.044977,Wise Leopard,2
Fierce Porcupine,2023-05-20 11:18:23-05:00,-74.477821,46.043906,Daring Koala,2
Inquisitive Panther,2023-05-20 11:18:32-05:00,-74.475528,46.045738,Clever Lion,2
Lively Rabbit,2023-05-20 11:26:38-05:00,-74.479338,46.043151,Daring Koala,2
Curious Penguin,2023-05-20 11:27:14-05:00,-74.477085,46.045552,Loyal Crocodile,2
Lively Rabbit,2023-05-20 11:27:25-05:00,-74.479338,46.043151,Daring Koala,2
Wild Tiger,2023-05-20 11:29:08-05:00,-74.478523,46.042206,Daring Koala,2
Agile Hippopotamus,2023-05-20 11:37:25-05:00,-74.478113,46.045428,Playful Dolphin,2
Fearless Chameleon,2023-05-20 11:37:51-05:00,-74.477854,46.04286,Loyal Crocodile,2
Resourceful Platypus,2023-05-20 11:41:10-05:00,-74.478951,46.044678,Playful Dolphin,2
Daring Koala,2023-05-20 13:02:19-05:00,-74.478738,46.042062,Tenacious Mongoose,3
Fierce Porcupine,2023-05-20 13:04:04-05:00,-74.478445,46.043604,Wandering Antelope,3
Agile Hippopotamus,2023-05-20 13:05:47-05:00,-74.478157,46.042185,Independent Weasel,3
Wise Leopard,2023-05-20 13:06:30-05:00,-74.477131,46.043941,Resilient Otter,3
Clever Lion,2023-05-20 13:06:44-05:00,-74.478934,46.043201,Tenacious Mongoose,3
Graceful Raccoon,2023-05-20 13:07:19-05:00,-74.477843,46.043543,Independent Weasel,3
Cunning Giraffe,2023-05-20 13:08:56-05:00,-74.4779,46.043171,Resilient Otter,3
Tenacious Mongoose,2023-05-20 13:11:24-05:00,-74.478449,46.044259,Wandering Antelope,3
Bold Owl,2023-05-20 13:11:38-05:00,-74.477,46.043832,Independent Weasel,3
Vigilant Puma,2023-05-20 13:13:29-05:00,-74.479096,46.043882,Resilient Otter,3
Wild Tiger,2023-05-20 13:15:32-05:00,-74.480286,46.043397,Independent Weasel,3
Elusive Fox,2023-05-20 13:16:06-05:00,-74.479197,46.043691,Resilient Otter,3
Curious Penguin,2023-05-20 13:17:31-05:00,-74.478853,46.042651,Independent Weasel,3
Resourceful Platypus,2023-05-20 13:19:23-05:00,-74.479306,46.04333,Wandering Antelope,3
Majestic Kangaroo,2023-05-20 13:25:01-05:00,-74.478846,46.044587,Independent Weasel,3
Silent Squirrel,2023-05-20 13:54:19-05:00,-74.477664,46.045086,Peaceful Walrus,4
Wild Tiger,2023-05-20 13:56:45-05:00,-74.477864,46.043143,Wandering Antelope,4
Clever Lion,2023-05-20 14:01:14-05:00,-74.48013,46.045822,Peaceful Walrus,4
Elusive Fox,2023-05-20 14:02:08-05:00,-74.479155,46.042093,Daring Koala,4
Resilient Otter,2023-05-20 14:02:36-05:00,-74.4781,46.042325,Energetic Badger,4
Loyal Crocodile,2023-05-20 14:04:29-05:00,-74.478619,46.044739,Peaceful Walrus,4
Playful Dolphin,2023-05-20 14:09:47-05:00,-74.477801,46.044161,Wandering Antelope,4
Lively Rabbit,2023-05-20 14:11:06-05:00,-74.479585,46.044687,Peaceful Walrus,4
Enduring Beaver,2023-05-20 14:11:06-05:00,-74.47741,46.044347,Wandering Antelope,4
Cunning Giraffe,2023-05-20 14:11:42-05:00,-74.477148,46.044398,Wandering Antelope,4
Brave Cheetah,2023-05-20 14:17:17-05:00,-74.47923,46.044382,Wandering Antelope,4
Resourceful Platypus,2023-05-20 14:22:43-05:00,-74.479206,46.042317,Peaceful Walrus,0
Cunning Giraffe,2023-05-20 14:43:34-05:00,-74.479211,46.042136,Swift Elephant,5
Fierce Porcupine,2023-05-20 14:43:43-05:00,-74.478328,46.044257,Noble Zebra,5
Enduring Beaver,2023-05-20 14:47:53-05:00,-74.478941,46.043983,Noble Zebra,5
Brave Cheetah,2023-05-20 14:48:12-05:00,-74.479206,46.044797,Resourceful Platypus,5
Gentle Bear,2023-05-20 14:51:27-05:00,-74.47829,46.044106,Swift Elephant,5
Majestic Kangaroo,2023-05-20 14:53:31-05:00,-74.478274,46.043514,Vigilant Puma,5
Bold Owl,2023-05-20 14:53:50-05:00,-74.476838,46.0432,Swift Elephant,5
Agile Hippopotamus,2023-05-20 14:54:47-05:00,-74.478657,46.043069,Noble Zebra,5
Curious Penguin,2023-05-20 14:55:48-05:00,-74.477711,46.042785,Swift Elephant,5
Elusive Fox,2023-05-20 14:56:57-05:00,-74.478486,46.042591,Vigilant Puma,5
Wandering Antelope,2023-05-20 14:59:18-05:00,-74.478591,46.042682,Vigilant Puma,5
Wise Leopard,2023-05-20 15:02:42-05:00,-74.479379,46.044761,Swift Elephant,5
Resilient Otter,2023-05-20 15:05:11-05:00,-74.478545,46.042341,Resourceful Platypus,5
Loyal Crocodile,2023-05-20 15:06:37-05:00,-74.478459,46.045879,Vigilant Puma,5
Graceful Raccoon,2023-05-20 15:08:24-05:00,-74.477627,46.045762,Swift Elephant,5
